year,month_num,final_region,total_sales,total_items,prev_year_sales,sales_growth
2021,5,San Luis Potosí,165548.22999999998,144,,
2021,5,Sinaloa,357674.76,307,,
2021,5,Sonora,214133.93000000002,180,,
2021,5,Tabasco,83227.61,68,,
2021,5,Tamaulipas,274257.98000000004,239,,
2021,5,Tlaxcala,22619.809999999998,19,,
2021,5,Veracruz,372306.67,340,,
2021,5,Yucatán,134590.66,128,,
2021,5,Zacatecas,43260.26,38,,
2021,6,Aguascalientes,38612.76,29,,
2021,6,Baja California,118291.86,95,,
2021,6,Baja California Sur,27271.34,26,,
2021,6,Campeche,16488.22,17,,
2021,6,Chiapas,70848.40000000001,61,,
2021,6,Chihuahua,147105.82,127,,
2021,6,Ciudad de México,871981.06,757,,
2021,6,Coahuila,144940.27000000002,121,,
2021,6,Colima,25652.79,24,,
2021,6,Durango,41248.11,32,,
2021,6,Guanajuato,115979.19,92,,
2021,6,Guerrero,22280.12,23,,
2021,6,Hidalgo,46131.990000000005,33,,
2021,6,Jalisco,463684.36000000004,399,,
2021,6,Michoacán,99668.48,82,,
2021,6,Morelos,39900.07,33,,
2021,6,México,417980.13,365,,
2021,6,Nayarit,39142.87,31,,
2021,6,Nuevo León,488174.4,440,,
2021,6,Oaxaca,35189.71,34,,
2021,6,Puebla,145861.24,125,,
2021,6,Querétaro,116318.21999999999,105,,
2021,6,Quintana Roo,37978.03,36,,
2021,6,San Luis Potosí,84878.23,66,,
2021,6,Sinaloa,128080.98000000001,118,,
2021,6,Sonora,68781.06,54,,
2021,6,Tabasco,38991.81,35,,
2021,6,Tamaulipas,115672.72,104,,
2021,6,Tlaxcala,15164.43,12,,
2021,6,Veracruz,129630.57,116,,
2021,6,Yucatán,62992.73,61,,
2021,6,Zacatecas,48789.07,38,,
2021,7,Aguascalientes,64194.59,56,,
2021,7,Baja California,182441.72,152,,
2021,7,Baja California Sur,41116.2,42,,
2021,7,Campeche,21304.0,19,,
2021,7,Chiapas,85016.35,75,,
2021,7,Chihuahua,172537.78,158,,
2021,7,Ciudad de México,1108661.12,1030,,
2021,7,Coahuila,155698.85,140,,
